ID,Date,Time,Description,IP Address,Host Name,MAC Address,User Name,TransactionID,QResult,Probationtime,CorrelationID,Dhcid,VendorClass(Hex),VendorClass(ASCII),UserClass(Hex),UserClass(ASCII),RelayAgentInformation,DnsRegError
10,04/28/26,15:06:00,Assign,192.168.10.50,WORKSTATION01.corp.local,00-1A-2B-3C-4D-5E,,0x12345678,0,,,AAABBB==,,,,,,,0
11,04/28/26,15:06:15,Renew,192.168.10.75,LAPTOP01.corp.local,00-2B-3C-4D-5E-6F,CORP\jsmith,0x23456789,0,,,BBBCCC==,,,,,,,0
12,04/28/26,15:06:30,Release,192.168.10.100,SERVER01.corp.local,00-3C-4D-5E-6F-7A,,0x34567890,0,,,CCCDDD==,,,,,,,0
13,04/28/26,15:06:45,DNS Update Request,192.168.10.50,WORKSTATION01.corp.local,00-1A-2B-3C-4D-5E,,0x45678901,0,,,DDDEEE==,,,,,,,0
14,04/28/26,15:07:00,DNS Update Successful,192.168.10.50,WORKSTATION01.corp.local,00-1A-2B-3C-4D-5E,,0x45678901,0,,,DDDEEE==,,,,,,,0
15,04/28/26,15:07:15,NACK,192.168.10.200,UNKNOWN,00-4D-5E-6F-7A-8B,,0x56789012,0,,,EEEFFF==,,,,,,,0
16,04/28/26,15:07:30,Decline,192.168.10.150,PRINTER01.corp.local,00-5E-6F-7A-8B-9C,,0x67890123,0,,,FFFGGG==,,,,,,,0
17,04/28/26,15:07:45,Expired,192.168.10.175,GUEST-PC.corp.local,00-6F-7A-8B-9C-AD,,0x78901234,0,,,GGGHHH==,,,,,,,0
20,04/28/26,15:08:00,BOOTP Assign,192.168.10.250,LEGACY-DEVICE,00-7A-8B-9C-AD-BE,,0x89012345,0,,,HHHIII==,,,,,,,0
30,04/28/26,15:08:15,DNS Update Failed,192.168.10.125,CONFLICT-HOST.corp.local,00-8B-9C-AD-BE-CF,,0x90123456,0,,,IIIJJJ==,,,,,,,1
31,04/28/26,15:08:30,DNS Update Request,192.168.10.125,CONFLICT-HOST.corp.local,00-8B-9C-AD-BE-CF,,0x90123456,0,,,IIIJJJ==,,,,,,,0
32,04/28/26,15:08:45,Deleted,192.168.10.225,OLD-SERVER.corp.local,00-9C-AD-BE-CF-D0,,0x01234567,0,,,JJJKKK==,,,,,,,0
